"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","DeleteDF_5th","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","DeleteDF_6th","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","DeleteDF_7th","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","DeleteDF_8th","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","DeleteDF_9th","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","Delete_Invalid_DF_With_DF_Not_Existed","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","Delete_Invalid_DF_With_ID_Is_Unset","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","Delete_Invalid_DF_With_ID_Is_0","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","Delete_Invalid_DF_With_ID_Is_String","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","Add_Valid_Interception_to_use_DF_12_for_delete_invalid_DF_disabled","request","UNKNOWN","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","DeleteDF TestCase","Delete_Invalid_DF_With_DF_used_by_an_active_Interception","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_With_Type_Is_sipuri","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_With_Type_Is_telurl","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_Without_Optional_Parameter","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_With_TargetNumber_Is_0","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_With_targetNumber_including_255_characters","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_With_targetNumber_Is_String","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Valid_Interception_With_ID_Is_Maximum_Value","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Invalid_Interception_With_df2id_Is_Unset","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Invalid_Interception_With_df2id_Is_String","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Invalid_Interception_With_liid_Existed","request","OK","","08-Aug-2024 17_34",
"SBC_LI_SOAP TestSuite","AddInterception TestCase","Add_Invalid_Interception_With_liid_Is_Unset","request","OK","","08-Aug-2024 17_34",
